Noise (%),R2(z1),R2(z2)
0,0.9918285608291626,0.9947307109832764
5,0.958232581615448,0.9743838906288147
10,0.9295428395271301,0.9519473910331726
15,0.9042012095451355,0.9259124398231506
20,0.8749966621398926,0.8958765268325806
